,Totaux,MÉDIA MULTI-ANNONCEURS,PROMOTIONNEL,DIST. PUBLICITAIRE SOLO,NUMÉRIQUE,APPLICATION,SERVICES IA
Commission,"4 428,31$","3 458,00$","0,00$","870,31$","100,00$","0,00$","0,00$"
,,,,,,,
Vente,"88 566,20$","69 160,00$","0,00$","17 406,20$","2 000,00$","0,00$","0,00$"
,,,,,,,
,,,,,,,
CLIENT,TOTAL (AVANT TAXES),# FACTURE,DATE,REPRÉSENTANT,DÉPARTEMENT,COMMISSION,
"Groupe Lavoie, PGL agence immobilière","$3 735,00",MTL-001817,05/01/2026,Richard Courville,DIST. PUBLICITAIRE SOLO,"186,75$",
ELECTRO AIDE INC.,"$5 385,00",MTL-001855,07/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"269,25$",
S & S Conversions,"$5 385,00",MTL-001854,07/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"269,25$",
Meraki Cuisine Méditerranéenne,"$1 245,00",MTL-001856,08/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"62,25$",
Éric Cuirot (Beneva),"$1 995,00",MTL-001875,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"99,75$",
Joker Resto Ludique,"$3 895,00",MTL-001874,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"194,75$",
PAOLA BENAÏM Broker,"$1 075,00",MTL-001873,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"53,75$",
Via Capitale Parcours-Joyce Jones,"$1 895,00",MTL-001872,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"94,75$",
Robert Wiseman Residential Real Estate Broker,"$995,00",MTL-001871,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"49,75$",
Chico - St-Jean-sur-Richelieu,"$1 895,00",MTL-001867,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"94,75$",
