Rep,,Origine du lead,Intérêt pour quel service,Montant vendu,Lien du CRM,Note
Guillaume,,Client déjà en CRM du passé,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000002941001,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193415001?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,1542,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193420001?pfrom=gsearch,
Sylvain,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Contacts/1402586000176590370?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193417004?pfrom=gsearch,
Kim,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Contacts/1402586000189898004?pfrom=gsearch,
Richard,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Contacts/1402586000009985052?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193437001?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193414002?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193419007?pfrom=gsearch,
Paul,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000130395088?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193470001?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193507001?pfrom=gsearch,
Morgane,,Intérêt par un produit de la boutique,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193495058,
Guillaume,,Intérêt par un produit de la boutique,PROMO,3800,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193526006,
Guillaume,,Site Web / Recherche Google,PROMO,"1017,7",https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193547001,
Paul,,Client déjà en CRM du passé,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000152892608?pfrom=gsearch,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193604015?pfrom=gsearch,
Sylvain,,Client déjà en CRM du passé,DISTRIBUTION PUB,3895,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000178723295,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193526040,
Sylvain,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000173115575?pfrom=gsearch,
Kim,,Site Web / Recherche Google,NUMERIQUE,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193740001,
Sylvain,,Meta Ads,DISTRIBUTION PUB,1775,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193553049?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193718012?pfrom=gsearch,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193732012?pfrom=gsearch,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000193759273?pfrom=gsearch,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193547016?pfrom=gsearch,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000193759526?pfrom=gsearch,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,"1407,87",https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193697844,
Sylvain,,Site Web / Recherche Google,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193697879,
Guillaume,,Site Web / Recherche Google,PROMO,4245,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193697899,
Kim,,Client déjà en CRM du passé,DISTRIBUTION PUB,"31995,27",https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000193620161?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193732032?pfrom=gsearch,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193876013,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193886001?pfrom=gsearch,
Guillaume,,Site Web / Recherche Google,PROMO,345,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193876035,
Kim,,Site Web / Recherche Google,NUMERIQUE,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193899001?pfrom=gsearch,
Sylvain,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000173115250?pfrom=gsearch,
Guillaume,,Intérêt par un produit de la boutique,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193876045,
Sylvain,,Client déjà en CRM du passé,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000119369246?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000194208106?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193962025?pfrom=gsearch,
